시군명,명칭,주소,면적,취득일,데이터기준일자
안양시,석수하수처리장 약품투입동,경기도 안양시 만안구 화창로 19,379.8,2010-05-20,2026-06-30
안양시,석수하수처리장 슬러지처리동,경기도 안양시 만안구 화창로 19,4632.6,2002-12-30,2026-06-30
안양시,석수하수처리장 반류수처리시설동,경기도 안양시 만안구 화창로 19,502.48,2010-05-20,2026-06-30
안양시,석수하수처리장 3차처리시설 계단실상옥,경기도 안양시 만안구 화창로 19,15.12,2010-05-20,2026-06-30
안양시,석수소방파출소,경기도 안양시 만안구 석수로 28,412.3,1988-02-11,2026-06-30
안양시,석수배수지창고,경기도 안양시 만안구 석수동 159-4,99,1987-06-01,2026-06-30
안양시,석수배수지관사,경기도 안양시 만안구 석수동 159-4,43,1985-12-01,2026-06-30
안양시,석수배수지관리사택,경기도 안양시 만안구 화창로 84,52.11,1985-12-01,2026-06-30
안양시,석수도서관,경기도 안양시 만안구 양화로217번길 34,10652.83,2003-11-07,2026-06-30
안양시,석수3동 행정복지센터(2관),경기도 안양시 만안구 석수로212번길 23,774.88,1991-03-09,2026-06-30
안양시,석수3동 행정복지센터 건립,경기도 안양시 만안구 석수로212번길 23,2903,2020-02-12,2026-06-30
안양시,석수3동 다목적복지회관,경기도 안양시 만안구 석수로212번길 23,774.88,2022-02-28,2026-06-30
안양시,석수3동 다목적복지회관,경기도 안양시 만안구 충훈로90번길 47,895.8,1997-01-04,2026-06-30
안양시,석수2동경로당,경기도 안양시 만안구 석수로26번길 45,330.18,2017-02-03,2026-06-30
안양시,석수2동 행정복지센터,경기도 안양시 만안구 안양로 496,3410.9,2010-09-09,2026-06-30
안양시,석수2동 다목적복지회관 리모델링,경기도 안양시 만안구 안양동 266-19,597.3,2020-12-31,2026-06-30
안양시,석수2동 다목적복지회관,경기도 안양시 만안구 안양로532번길 13-8,587.01,1995-11-20,2026-06-30
안양시,석수1동 행정복지센터,경기도 안양시 만안구 경수대로 1252,3344.47,2003-07-14,2026-06-30
안양시,석수1동 경로당,경기도 안양시 만안구 석수동 182-7,299.23,2020-12-31,2026-06-30
안양시,새마을경로당,경기도 안양시 만안구 현충로16번길 14,174.6,1986-11-12,2026-06-30
안양시,삼성천경로당,경기도 안양시 만안구 석천로198번길 11-22,147.52,2004-01-03,2026-06-30
안양시,삼성산경로당,경기도 안양시 만안구 예술공원로103번길 17,243.63,2003-02-24,2026-06-30
안양시,삼봉경로당,경기도 안양시 만안구 박달로416번길 10,160.96,1998-10-10,2026-06-30
안양시,삼막애견공원 관리소 및 화장실,경기도 안양시 만안구 석수동 18,35,2018-06-14,2026-06-30
안양시,삼막마을 다목적복지회관,경기도 안양시 만안구 삼막로24번길 107,872.98,2015-09-16,2026-06-30
안양시,삼덕도서관,경기도 안양시 만안구 병목안로 58,2688.41,2016-12-31,2026-06-30
안양시,삼덕공원야외무대,경기도 안양시 만안구 삼덕로 106,42.33,2012-09-08,2026-06-30
안양시,삼덕공원 관리사무소,경기도 안양시 만안구 삼덕로 106,351.46,2009-12-31,2026-06-30
안양시,비산체육공원 관리동,경기도 안양시 동안구 평촌대로 489-29,296.45,2017-07-24,2026-06-30
안양시,비산종합사회복지관(제일경로당),경기도 안양시 동안구 임곡로 74,235.52,2006-07-26,2026-06-30
안양시,비산종합사회복지관,경기도 안양시 동안구 임곡로 74,835,1986-12-29,2026-06-30
안양시,비산정수장방수처리,경기도 안양시 동안구 비산동 산 166,129,2000-12-01,2026-06-30
안양시,비산정수장방수처리,경기도 안양시 동안구 비산동 산 166,1,2000-12-01,2026-06-30
안양시,비산배수펌프장,경기도 안양시 동안구 비산동 593-12,214,2000-12-29,2026-06-30
안양시,비산3동사무소,경기도 안양시 동안구 비산동 318-79,583.22,1991-12-24,2026-06-30
안양시,비산3동 행정복지센터(신축),경기도 안양시 동안구 평촌대로 389,2903.93,2018-11-29,2026-06-30
안양시,비산2동 행정복지센터,경기도 안양시 동안구 비산동 414-4,3611,2020-07-20,2026-06-30
안양시,비산2동 다목적복지회관,경기도 안양시 동안구 경수대로 870,1675.26,1997-06-04,2026-06-30
